Name;Station;Time;Air temperature;Mean wind speed;Wind direction;Cloud cover;Relative air humidity
Svalbard Lufthavn;SN99840;02.10.2020 03:00;0.3;2.5;92;-;90
Svalbard Lufthavn;SN99840;02.10.2020 04:00;0.3;2.2;110;7;90
Svalbard Lufthavn;SN99840;02.10.2020 05:00;0.4;2.4;98;-;89
Svalbard Lufthavn;SN99840;02.10.2020 06:00;0.2;2.3;101;-;90
Svalbard Lufthavn;SN99840;02.10.2020 07:00;0.3;0.9;244;7;90
Svalbard Lufthavn;SN99840;02.10.2020 08:00;0.3;1.3;96;-;92
Svalbard Lufthavn;SN99840;02.10.2020 09:00;0.3;1.7;103;-;93
Svalbard Lufthavn;SN99840;02.10.2020 10:00;0.1;0.7;148;7;92
Svalbard Lufthavn;SN99840;02.10.2020 11:00;0.3;2.1;107;-;91
Svalbard Lufthavn;SN99840;02.10.2020 12:00;0.8;0;0;-;89
Svalbard Lufthavn;SN99840;02.10.2020 13:00;0.8;2.3;103;7;91
Svalbard Lufthavn;SN99840;02.10.2020 14:00;0.6;2.5;116;-;91
Svalbard Lufthavn;SN99840;02.10.2020 15:00;1.7;0.8;117;-;83
Svalbard Lufthavn;SN99840;02.10.2020 16:00;1.7;2;141;7;83
Svalbard Lufthavn;SN99840;02.10.2020 17:00;1.9;2.6;104;-;83
Svalbard Lufthavn;SN99840;02.10.2020 18:00;1.5;2.8;172;-;83
Svalbard Lufthavn;SN99840;02.10.2020 19:00;1.7;2;210;7;81
Svalbard Lufthavn;SN99840;02.10.2020 20:00;1.5;3.9;176;-;82
Svalbard Lufthavn;SN99840;02.10.2020 21:00;1.2;2.3;152;-;82
Svalbard Lufthavn;SN99840;02.10.2020 22:00;0.5;3;102;5;84
Svalbard Lufthavn;SN99840;02.10.2020 23:00;0.1;1;104;-;86
Svalbard Lufthavn;SN99840;03.10.2020 00:00;-0.1;1.1;118;-;85
Svalbard Lufthavn;SN99840;03.10.2020 01:00;0.7;2.1;111;5;83
Svalbard Lufthavn;SN99840;03.10.2020 02:00;0.4;0.7;142;-;84
Svalbard Lufthavn;SN99840;03.10.2020 03:00;0.7;1.1;121;-;84
Svalbard Lufthavn;SN99840;03.10.2020 04:00;0.6;2.7;113;6;82
Svalbard Lufthavn;SN99840;03.10.2020 05:00;0.3;2.8;108;-;82
Svalbard Lufthavn;SN99840;03.10.2020 06:00;0.2;1.1;150;-;81
Svalbard Lufthavn;SN99840;03.10.2020 07:00;-0.9;0.4;225;3;82
Svalbard Lufthavn;SN99840;03.10.2020 08:00;0.2;1.4;141;-;84
Svalbard Lufthavn;SN99840;03.10.2020 09:00;0.9;1.9;111;-;78
Svalbard Lufthavn;SN99840;03.10.2020 10:00;0;1.2;234;2;85
Svalbard Lufthavn;SN99840;03.10.2020 11:00;0.2;0.8;231;-;83
Svalbard Lufthavn;SN99840;03.10.2020 12:00;0.2;0.6;251;-;81
Svalbard Lufthavn;SN99840;03.10.2020 13:00;1;1.4;115;1;78
Svalbard Lufthavn;SN99840;03.10.2020 14:00;0.9;2.1;141;-;80
Svalbard Lufthavn;SN99840;03.10.2020 15:00;0.6;1.6;115;-;82
Svalbard Lufthavn;SN99840;03.10.2020 16:00;0.4;1.5;87;4;88
Svalbard Lufthavn;SN99840;03.10.2020 17:00;-0.1;3;103;-;87
Svalbard Lufthavn;SN99840;03.10.2020 18:00;-0.2;1.2;98;-;89
Svalbard Lufthavn;SN99840;03.10.2020 19:00;0.6;3.9;110;7;85
Svalbard Lufthavn;SN99840;03.10.2020 20:00;-0.1;2;116;-;90
Svalbard Lufthavn;SN99840;03.10.2020 21:00;0.8;1.2;267;-;85
Svalbard Lufthavn;SN99840;03.10.2020 22:00;0;3.5;112;7;90
Svalbard Lufthavn;SN99840;03.10.2020 23:00;0.8;2;120;-;90
Svalbard Lufthavn;SN99840;04.10.2020 00:00;0.9;3.2;109;-;91
Svalbard Lufthavn;SN99840;04.10.2020 01:00;1.5;4.6;108;7;90
Svalbard Lufthavn;SN99840;04.10.2020 02:00;1.5;0.7;94;-;92
Svalbard Lufthavn;SN99840;04.10.2020 03:00;1.3;0.7;188;-;93
Svalbard Lufthavn;SN99840;04.10.2020 04:00;1.4;0.5;272;7;93
Svalbard Lufthavn;SN99840;04.10.2020 05:00;1.7;2.6;109;-;92
Svalbard Lufthavn;SN99840;04.10.2020 06:00;1.6;1.3;115;-;93
Svalbard Lufthavn;SN99840;04.10.2020 07:00;1.1;3.9;91;8;96
Svalbard Lufthavn;SN99840;04.10.2020 08:00;1.2;4.1;107;-;97
Svalbard Lufthavn;SN99840;04.10.2020 09:00;1.4;2.7;117;-;97
Svalbard Lufthavn;SN99840;04.10.2020 10:00;1.5;1.7;72;8;97
Svalbard Lufthavn;SN99840;04.10.2020 11:00;2;1.9;123;-;97
Svalbard Lufthavn;SN99840;04.10.2020 12:00;1.9;0.4;178;-;97
Svalbard Lufthavn;SN99840;04.10.2020 13:00;1.9;0.8;255;8;97
Svalbard Lufthavn;SN99840;04.10.2020 14:00;2.2;0.9;233;-;97
Svalbard Lufthavn;SN99840;04.10.2020 15:00;2;1.7;100;-;97
Svalbard Lufthavn;SN99840;04.10.2020 16:00;1.8;2.1;92;8;97
Svalbard Lufthavn;SN99840;04.10.2020 17:00;1.7;3.6;97;-;97
Svalbard Lufthavn;SN99840;04.10.2020 18:00;1.4;3.7;72;-;97
Svalbard Lufthavn;SN99840;04.10.2020 19:00;1.8;1.5;121;8;97
Svalbard Lufthavn;SN99840;04.10.2020 20:00;2.2;2.1;256;-;97
Svalbard Lufthavn;SN99840;04.10.2020 21:00;2.2;1.8;262;-;97
Svalbard Lufthavn;SN99840;04.10.2020 22:00;2.1;1.8;263;8;97
Svalbard Lufthavn;SN99840;04.10.2020 23:00;2.2;0.8;96;-;97
Svalbard Lufthavn;SN99840;05.10.2020 00:00;2.5;0.9;77;-;97
Svalbard Lufthavn;SN99840;05.10.2020 01:00;2.1;3.6;105;8;97
Svalbard Lufthavn;SN99840;05.10.2020 02:00;1.8;1.6;112;-;97
Svalbard Lufthavn;SN99840;05.10.2020 03:00;2;0.6;139;-;98
Svalbard Lufthavn;SN99840;05.10.2020 04:00;2.5;1.6;260;8;97
Svalbard Lufthavn;SN99840;05.10.2020 05:00;2.5;2;248;-;96
Svalbard Lufthavn;SN99840;05.10.2020 06:00;2.6;1.9;239;-;96
Svalbard Lufthavn;SN99840;05.10.2020 07:00;2.4;1;13;7;96
Svalbard Lufthavn;SN99840;05.10.2020 08:00;2.4;1.6;252;-;96
Svalbard Lufthavn;SN99840;05.10.2020 09:00;3;2.2;259;-;96
Svalbard Lufthavn;SN99840;05.10.2020 10:00;3;3.4;266;7;96
Svalbard Lufthavn;SN99840;05.10.2020 11:00;2.9;1.9;285;-;96
Svalbard Lufthavn;SN99840;05.10.2020 12:00;3.1;1.5;280;-;95
Svalbard Lufthavn;SN99840;05.10.2020 13:00;3.3;1.3;246;7;95
Svalbard Lufthavn;SN99840;05.10.2020 14:00;3;0.7;242;-;95
Svalbard Lufthavn;SN99840;05.10.2020 15:00;2.8;1.9;268;-;93
Svalbard Lufthavn;SN99840;05.10.2020 16:00;2.7;1.9;250;7;90
Svalbard Lufthavn;SN99840;05.10.2020 17:00;4.5;1.6;245;-;83
Svalbard Lufthavn;SN99840;05.10.2020 18:00;4.7;2.1;249;-;82
Svalbard Lufthavn;SN99840;05.10.2020 19:00;4.9;1.1;210;7;80
Svalbard Lufthavn;SN99840;05.10.2020 20:00;4.1;2;256;-;85
Svalbard Lufthavn;SN99840;05.10.2020 21:00;2.8;2;263;-;94
Svalbard Lufthavn;SN99840;05.10.2020 22:00;3.8;0;0;7;91
Svalbard Lufthavn;SN99840;05.10.2020 23:00;3.4;0;0;-;90
Svalbard Lufthavn;SN99840;06.10.2020 00:00;3.4;2.3;247;-;90
Svalbard Lufthavn;SN99840;06.10.2020 01:00;3.2;0.4;205;7;92
Svalbard Lufthavn;SN99840;06.10.2020 02:00;3;0.9;246;-;93
Svalbard Lufthavn;SN99840;06.10.2020 03:00;3.6;1;236;-;88
Svalbard Lufthavn;SN99840;06.10.2020 04:00;3.8;2.3;249;7;87
Svalbard Lufthavn;SN99840;06.10.2020 05:00;3.1;1.7;252;-;90
Svalbard Lufthavn;SN99840;06.10.2020 06:00;3.2;0.7;173;-;91
Svalbard Lufthavn;SN99840;06.10.2020 07:00;3.2;1.6;238;7;90
Svalbard Lufthavn;SN99840;06.10.2020 08:00;3;4;250;-;92
Svalbard Lufthavn;SN99840;06.10.2020 09:00;2.9;0;0;-;92
Svalbard Lufthavn;SN99840;06.10.2020 10:00;2.2;0;0;3;93
Svalbard Lufthavn;SN99840;06.10.2020 11:00;2.7;1.7;248;-;92
Svalbard Lufthavn;SN99840;06.10.2020 12:00;3.1;1.5;267;-;89
Svalbard Lufthavn;SN99840;06.10.2020 13:00;2.2;0;0;1;93
Svalbard Lufthavn;SN99840;06.10.2020 14:00;4.3;2;229;-;79
Svalbard Lufthavn;SN99840;06.10.2020 15:00;3.9;1.8;261;-;79
Svalbard Lufthavn;SN99840;06.10.2020 16:00;3.5;1.6;270;1;80
Svalbard Lufthavn;SN99840;06.10.2020 17:00;3.1;1.2;253;-;82
Svalbard Lufthavn;SN99840;06.10.2020 18:00;2.6;1.9;97;-;84
Svalbard Lufthavn;SN99840;06.10.2020 19:00;2.1;2.6;168;1;85
Svalbard Lufthavn;SN99840;06.10.2020 20:00;2.5;1.7;267;-;84
Svalbard Lufthavn;SN99840;06.10.2020 21:00;1.9;3.8;135;-;86
Svalbard Lufthavn;SN99840;06.10.2020 22:00;2;3.2;90;1;84
Svalbard Lufthavn;SN99840;06.10.2020 23:00;0.9;2.6;242;-;87
Svalbard Lufthavn;SN99840;07.10.2020 00:00;1.1;1.8;99;-;87
Svalbard Lufthavn;SN99840;07.10.2020 01:00;1.3;1.1;102;1;86
Svalbard Lufthavn;SN99840;07.10.2020 02:00;1.4;2.5;237;-;86
Svalbard Lufthavn;SN99840;07.10.2020 03:00;0.8;1.2;133;-;88
Svalbard Lufthavn;SN99840;07.10.2020 04:00;0.5;1.2;130;1;90
Svalbard Lufthavn;SN99840;07.10.2020 05:00;1.2;0.9;213;-;87
Svalbard Lufthavn;SN99840;07.10.2020 06:00;0;1.2;203;-;90
Svalbard Lufthavn;SN99840;07.10.2020 07:00;0.5;1.6;115;2;93
Svalbard Lufthavn;SN99840;07.10.2020 08:00;0.4;0.7;235;-;92
Svalbard Lufthavn;SN99840;07.10.2020 09:00;0.5;1;98;-;92
Svalbard Lufthavn;SN99840;07.10.2020 10:00;0.7;1.6;243;2;91
Svalbard Lufthavn;SN99840;07.10.2020 11:00;0.1;0.6;118;-;92
Svalbard Lufthavn;SN99840;07.10.2020 12:00;0.2;0.9;209;-;92
Svalbard Lufthavn;SN99840;07.10.2020 13:00;0.8;1.3;299;7;95
Svalbard Lufthavn;SN99840;07.10.2020 14:00;0.8;2.3;233;-;96
Svalbard Lufthavn;SN99840;07.10.2020 15:00;0.7;1;230;-;96
Svalbard Lufthavn;SN99840;07.10.2020 16:00;0.1;1.2;151;0;96
Svalbard Lufthavn;SN99840;07.10.2020 17:00;-0.7;2.5;234;-;97
Svalbard Lufthavn;SN99840;07.10.2020 18:00;-0.9;2.1;239;-;97
Svalbard Lufthavn;SN99840;07.10.2020 19:00;-0.3;2.5;240;0;97
Svalbard Lufthavn;SN99840;07.10.2020 20:00;-0.4;2.9;242;-;97
Svalbard Lufthavn;SN99840;07.10.2020 21:00;-0.3;4.5;246;-;97
Svalbard Lufthavn;SN99840;07.10.2020 22:00;-0.6;3.8;247;0;95
Svalbard Lufthavn;SN99840;07.10.2020 23:00;-0.6;2.3;239;-;97
Svalbard Lufthavn;SN99840;08.10.2020 00:00;0.9;3.6;257;-;100
Svalbard Lufthavn;SN99840;08.10.2020 01:00;1.9;2.7;260;3;94
Svalbard Lufthavn;SN99840;08.10.2020 02:00;-1.4;1.9;236;-;94
Svalbard Lufthavn;SN99840;08.10.2020 03:00;-0.2;1.6;253;-;96
Svalbard Lufthavn;SN99840;08.10.2020 04:00;4.2;6.3;118;2;76
Svalbard Lufthavn;SN99840;08.10.2020 05:00;4.7;8.2;129;-;72
Svalbard Lufthavn;SN99840;08.10.2020 06:00;4.2;8.7;123;-;73
Svalbard Lufthavn;SN99840;08.10.2020 07:00;4.4;8.8;117;2;71
Svalbard Lufthavn;SN99840;08.10.2020 08:00;3.8;8.8;116;-;72
Svalbard Lufthavn;SN99840;08.10.2020 09:00;3.5;7.9;119;-;72
Svalbard Lufthavn;SN99840;08.10.2020 10:00;3.6;8.9;118;3;71
Svalbard Lufthavn;SN99840;08.10.2020 11:00;3.3;8.7;124;-;73
Svalbard Lufthavn;SN99840;08.10.2020 12:00;3.5;7.7;127;-;70
Svalbard Lufthavn;SN99840;08.10.2020 13:00;3.2;7.1;132;2;72
Svalbard Lufthavn;SN99840;08.10.2020 14:00;3.2;6.6;134;-;73
Svalbard Lufthavn;SN99840;08.10.2020 15:00;3.2;4.6;123;-;75
Svalbard Lufthavn;SN99840;08.10.2020 16:00;3.6;9.8;148;7;74
Svalbard Lufthavn;SN99840;08.10.2020 17:00;3.5;6.3;142;-;77
Svalbard Lufthavn;SN99840;08.10.2020 18:00;3.7;8.3;151;-;77
Svalbard Lufthavn;SN99840;08.10.2020 19:00;4;1.9;258;7;78
Svalbard Lufthavn;SN99840;08.10.2020 20:00;3.3;2;250;-;83
Svalbard Lufthavn;SN99840;08.10.2020 21:00;3.4;1.1;310;-;82
Svalbard Lufthavn;SN99840;08.10.2020 22:00;3.2;2.2;257;7;83
Svalbard Lufthavn;SN99840;08.10.2020 23:00;2.6;2.5;251;-;85
Svalbard Lufthavn;SN99840;09.10.2020 00:00;2.7;2.3;241;-;85
Svalbard Lufthavn;SN99840;09.10.2020 01:00;2.6;2.7;243;7;86
Svalbard Lufthavn;SN99840;09.10.2020 02:00;2.7;2.7;252;-;86
Svalbard Lufthavn;SN99840;09.10.2020 03:00;2.3;2.2;235;-;88
Svalbard Lufthavn;SN99840;09.10.2020 04:00;2.3;2.1;253;7;88
Svalbard Lufthavn;SN99840;09.10.2020 05:00;2.2;1;236;-;89
Svalbard Lufthavn;SN99840;09.10.2020 06:00;2;0.8;174;-;90
Svalbard Lufthavn;SN99840;09.10.2020 07:00;1.9;1.3;71;7;91
Svalbard Lufthavn;SN99840;09.10.2020 08:00;1.8;0;0;-;92
Svalbard Lufthavn;SN99840;09.10.2020 09:00;1.6;1.2;96;-;91
Svalbard Lufthavn;SN99840;09.10.2020 10:00;2;0.6;140;7;93
Svalbard Lufthavn;SN99840;09.10.2020 11:00;1.9;1.1;311;-;92
Svalbard Lufthavn;SN99840;09.10.2020 12:00;1.8;2.6;259;-;94
Svalbard Lufthavn;SN99840;09.10.2020 13:00;1.7;1.6;95;7;94
Svalbard Lufthavn;SN99840;09.10.2020 14:00;1.6;0.5;148;-;94
Svalbard Lufthavn;SN99840;09.10.2020 15:00;1.5;3.3;243;-;95
Svalbard Lufthavn;SN99840;09.10.2020 16:00;1.6;1.4;94;7;95
Svalbard Lufthavn;SN99840;09.10.2020 17:00;1.6;1;126;-;96
Svalbard Lufthavn;SN99840;09.10.2020 18:00;2;1.5;263;-;96
Svalbard Lufthavn;SN99840;09.10.2020 19:00;2.3;1;153;8;93
Svalbard Lufthavn;SN99840;09.10.2020 20:00;2.6;2.4;40;-;90
Svalbard Lufthavn;SN99840;09.10.2020 21:00;2.2;4;36;-;91
Svalbard Lufthavn;SN99840;09.10.2020 22:00;2.2;2.7;40;8;94
Svalbard Lufthavn;SN99840;09.10.2020 23:00;2.3;5.5;28;-;90
Svalbard Lufthavn;SN99840;10.10.2020 00:00;2.3;8.7;15;-;90
Svalbard Lufthavn;SN99840;10.10.2020 01:00;2;7.9;15;8;90
Svalbard Lufthavn;SN99840;10.10.2020 02:00;1.9;9;13;-;86
Svalbard Lufthavn;SN99840;10.10.2020 03:00;1.5;8;15;-;86
Svalbard Lufthavn;SN99840;10.10.2020 04:00;1;7.2;18;8;86
Svalbard Lufthavn;SN99840;10.10.2020 05:00;0.9;7.5;21;-;90
Svalbard Lufthavn;SN99840;10.10.2020 06:00;1.2;7.8;19;-;81
Svalbard Lufthavn;SN99840;10.10.2020 07:00;1.4;8;19;7;75
Svalbard Lufthavn;SN99840;10.10.2020 08:00;1.3;7.9;15;-;73
Svalbard Lufthavn;SN99840;10.10.2020 09:00;1.1;7.7;15;-;75
Svalbard Lufthavn;SN99840;10.10.2020 10:00;0.9;6.7;14;7;68
Svalbard Lufthavn;SN99840;10.10.2020 11:00;0.4;8.2;21;-;70
Svalbard Lufthavn;SN99840;10.10.2020 12:00;0.2;6.7;20;-;67
Svalbard Lufthavn;SN99840;10.10.2020 13:00;-0.4;9.1;15;7;68
Svalbard Lufthavn;SN99840;10.10.2020 14:00;-0.8;7.5;21;-;69
Svalbard Lufthavn;SN99840;10.10.2020 15:00;-1.3;9.1;21;-;68
Svalbard Lufthavn;SN99840;10.10.2020 16:00;-1.7;8.2;20;7;67
Svalbard Lufthavn;SN99840;10.10.2020 17:00;-2.1;7.9;29;-;68
Svalbard Lufthavn;SN99840;10.10.2020 18:00;-2.5;7.3;27;-;66
Svalbard Lufthavn;SN99840;10.10.2020 19:00;-2.6;5.4;32;2;59
Svalbard Lufthavn;SN99840;10.10.2020 20:00;-2.6;3.8;39;-;57
Svalbard Lufthavn;SN99840;10.10.2020 21:00;-2.6;3.9;55;-;60
Svalbard Lufthavn;SN99840;10.10.2020 22:00;-2.6;4.3;350;4;64
Svalbard Lufthavn;SN99840;10.10.2020 23:00;-2.8;4.3;339;-;61
Svalbard Lufthavn;SN99840;11.10.2020 00:00;-3;4;355;-;55
Svalbard Lufthavn;SN99840;11.10.2020 01:00;-3;3.3;327;2;59
Svalbard Lufthavn;SN99840;11.10.2020 02:00;-3;4.3;338;-;61
Svalbard Lufthavn;SN99840;11.10.2020 03:00;-3.2;5.5;352;-;63
Svalbard Lufthavn;SN99840;11.10.2020 04:00;-3.4;5.8;357;2;59
Svalbard Lufthavn;SN99840;11.10.2020 05:00;-3.7;4.4;349;-;60
Svalbard Lufthavn;SN99840;11.10.2020 06:00;-3.8;3.6;356;-;58
Svalbard Lufthavn;SN99840;11.10.2020 07:00;-4.9;1.5;271;0;63
Svalbard Lufthavn;SN99840;11.10.2020 08:00;-4.8;1.8;326;-;62
Svalbard Lufthavn;SN99840;11.10.2020 09:00;-5.7;2.2;236;-;69
Svalbard Lufthavn;SN99840;11.10.2020 10:00;-4.6;4.1;314;5;66
Svalbard Lufthavn;SN99840;11.10.2020 11:00;-3.9;4.1;322;-;64
Svalbard Lufthavn;SN99840;11.10.2020 12:00;-4.1;3.3;307;-;69
Svalbard Lufthavn;SN99840;11.10.2020 13:00;-4;2;274;6;69
Svalbard Lufthavn;SN99840;11.10.2020 14:00;-4;2.7;279;-;66
Svalbard Lufthavn;SN99840;11.10.2020 15:00;-4.2;2.2;241;-;69
Svalbard Lufthavn;SN99840;11.10.2020 16:00;-3.8;2.9;227;6;65
Svalbard Lufthavn;SN99840;11.10.2020 17:00;-3.6;2.6;350;-;68
Svalbard Lufthavn;SN99840;11.10.2020 18:00;-4.5;0.8;206;-;76
Svalbard Lufthavn;SN99840;11.10.2020 19:00;-5.1;2.7;113;6;73
Svalbard Lufthavn;SN99840;11.10.2020 20:00;-5.2;3.5;102;-;73
Svalbard Lufthavn;SN99840;11.10.2020 21:00;-5.3;1.2;199;-;74
Svalbard Lufthavn;SN99840;11.10.2020 22:00;-5.5;3.2;115;5;72
Svalbard Lufthavn;SN99840;11.10.2020 23:00;-5.9;0.4;135;-;74
Svalbard Lufthavn;SN99840;12.10.2020 00:00;-5.4;3.5;288;-;73
Svalbard Lufthavn;SN99840;12.10.2020 01:00;-4.5;2.4;289;7;67
Svalbard Lufthavn;SN99840;12.10.2020 02:00;-4.4;1.6;8;-;65
Svalbard Lufthavn;SN99840;12.10.2020 03:00;-3.9;2.3;7;-;62
Svalbard Lufthavn;SN99840;12.10.2020 04:00;-4.2;1.9;23;7;60
Svalbard Lufthavn;SN99840;12.10.2020 05:00;-4.5;1.8;69;-;61
Svalbard Lufthavn;SN99840;12.10.2020 06:00;-4.6;2.4;127;-;66
Svalbard Lufthavn;SN99840;12.10.2020 07:00;-4.4;2.3;137;7;65
Svalbard Lufthavn;SN99840;12.10.2020 08:00;-4.3;3.4;120;-;64
Svalbard Lufthavn;SN99840;12.10.2020 09:00;-4.4;2.5;95;-;66
Svalbard Lufthavn;SN99840;12.10.2020 10:00;-4;5.5;104;7;62
Svalbard Lufthavn;SN99840;12.10.2020 11:00;-4.1;4.4;102;-;60
Svalbard Lufthavn;SN99840;12.10.2020 12:00;-4.4;3.2;103;-;65
Svalbard Lufthavn;SN99840;12.10.2020 13:00;-4.3;3.9;102;7;64
Svalbard Lufthavn;SN99840;12.10.2020 14:00;-4.5;4.5;108;-;64
Svalbard Lufthavn;SN99840;12.10.2020 15:00;-4.2;5.4;99;-;61
Svalbard Lufthavn;SN99840;12.10.2020 16:00;-4.3;4.1;122;7;60
Svalbard Lufthavn;SN99840;12.10.2020 17:00;-4.3;3.4;105;-;60
Svalbard Lufthavn;SN99840;12.10.2020 18:00;-4.6;4;109;-;64
Svalbard Lufthavn;SN99840;12.10.2020 19:00;-5.3;3.6;102;3;66
Svalbard Lufthavn;SN99840;12.10.2020 20:00;-6;3.1;114;-;68
Svalbard Lufthavn;SN99840;12.10.2020 21:00;-6.4;3.9;102;-;74
Svalbard Lufthavn;SN99840;12.10.2020 22:00;-5.9;4;99;4;70
Svalbard Lufthavn;SN99840;12.10.2020 23:00;-6.5;4.9;106;-;73
Svalbard Lufthavn;SN99840;13.10.2020 00:00;-5.7;4.8;105;-;68
Svalbard Lufthavn;SN99840;13.10.2020 01:00;-5;3.6;101;6;72
Svalbard Lufthavn;SN99840;13.10.2020 02:00;-4.8;3.5;97;-;73
Svalbard Lufthavn;SN99840;13.10.2020 03:00;-4.5;3.9;91;-;72
Svalbard Lufthavn;SN99840;13.10.2020 04:00;-4.3;1.9;116;4;73
Svalbard Lufthavn;SN99840;13.10.2020 05:00;-3.4;0.7;244;-;74
Svalbard Lufthavn;SN99840;13.10.2020 06:00;-3.1;2.1;112;-;75
Svalbard Lufthavn;SN99840;13.10.2020 07:00;-2.8;2.4;101;7;74
Svalbard Lufthavn;SN99840;13.10.2020 08:00;-2.4;1.5;107;-;74
Svalbard Lufthavn;SN99840;13.10.2020 09:00;-2.1;3;90;-;75
Svalbard Lufthavn;SN99840;13.10.2020 10:00;-1.6;0.9;122;7;76
Svalbard Lufthavn;SN99840;13.10.2020 11:00;0.2;1;23;-;72
Svalbard Lufthavn;SN99840;13.10.2020 12:00;0.3;2.2;230;-;70
Svalbard Lufthavn;SN99840;13.10.2020 13:00;0.8;1.8;235;7;71
Svalbard Lufthavn;SN99840;13.10.2020 14:00;0.8;0.7;292;-;70
Svalbard Lufthavn;SN99840;13.10.2020 15:00;1.2;1.9;231;-;69
Svalbard Lufthavn;SN99840;13.10.2020 16:00;1.2;0.9;149;7;69
Svalbard Lufthavn;SN99840;13.10.2020 17:00;1.1;1.1;66;-;70
Svalbard Lufthavn;SN99840;13.10.2020 18:00;1.6;1.7;254;-;69
Svalbard Lufthavn;SN99840;13.10.2020 19:00;1.9;3.1;96;7;68
Svalbard Lufthavn;SN99840;13.10.2020 20:00;2.1;3.5;152;-;70
Svalbard Lufthavn;SN99840;13.10.2020 21:00;2;5.1;125;-;72
Svalbard Lufthavn;SN99840;13.10.2020 22:00;2.1;7.5;135;6;71
Svalbard Lufthavn;SN99840;13.10.2020 23:00;2;7.4;129;-;72
Svalbard Lufthavn;SN99840;14.10.2020 00:00;2.4;8.5;125;-;69
Svalbard Lufthavn;SN99840;14.10.2020 01:00;2.6;7.6;131;7;69
Svalbard Lufthavn;SN99840;14.10.2020 02:00;2.3;8.5;122;-;71
Svalbard Lufthavn;SN99840;14.10.2020 03:00;2.3;9.2;129;-;68
Svalbard Lufthavn;SN99840;14.10.2020 04:00;2.3;9.1;129;7;67
Svalbard Lufthavn;SN99840;14.10.2020 05:00;2.2;7.8;121;-;67
Svalbard Lufthavn;SN99840;14.10.2020 06:00;1.6;9.1;119;-;69
Svalbard Lufthavn;SN99840;14.10.2020 07:00;2.1;7.8;118;7;65
Svalbard Lufthavn;SN99840;14.10.2020 08:00;1.4;8.3;114;-;68
Svalbard Lufthavn;SN99840;14.10.2020 09:00;1;9.3;125;-;70
Svalbard Lufthavn;SN99840;14.10.2020 10:00;0.8;9.2;131;6;71
Svalbard Lufthavn;SN99840;14.10.2020 11:00;0.5;8;130;-;72
Svalbard Lufthavn;SN99840;14.10.2020 12:00;0.2;8.4;119;-;72
Svalbard Lufthavn;SN99840;14.10.2020 13:00;0.1;7.6;123;6;72
Svalbard Lufthavn;SN99840;14.10.2020 14:00;-0.2;5.9;128;-;72
Svalbard Lufthavn;SN99840;14.10.2020 15:00;-0.2;3.1;130;-;72
Svalbard Lufthavn;SN99840;14.10.2020 16:00;-0.2;4;103;4;72
Svalbard Lufthavn;SN99840;14.10.2020 17:00;-1.3;3.4;111;-;77
Svalbard Lufthavn;SN99840;14.10.2020 18:00;-2.3;3.7;115;-;82
Svalbard Lufthavn;SN99840;14.10.2020 19:00;-2.5;3.2;103;1;80
Svalbard Lufthavn;SN99840;14.10.2020 20:00;-2.3;2.1;106;-;80
